words,freq
dotcom,17
hydrating,287
cell,70
corp,1
plush,15
toner,186
repairing,27
foam,53
sun,152
spf50,14
fluid,42
exfoliant,29
cbd,26
dry,478
touch,146
maximum,40
midnight,28
solution,93
blush,84
cicaplast,10
clean,235
spring,63
mvp,7
shot,27
glow,235
rouge,26
energizing,15
rnergie,29
50,212
cushion,20
b5,42
spf,153
match,96
de,105
tonique,10
cream,417
thermal,26
freeze,8
anthelios,9
moisture,297
clear,209
creme,41
cloud,53
mattemoiselle,8
elf,29
lotus,24
best,520
repair,110
dark,201
milky,46
futuredew,15
night,275
stunna,14
my,587
wear,196
body,238
pop,69
sheer,61
mg,7
lipstick,114
sensitive,336
tinted,58
day,455
pore,93
caring,10
paint,44
revitalizing,39
killawatt,15
boy,41
acid,297
wrinkle,62
seaberry,10
oil,413
free,482
pro,105
pore,93
moisturizing,243
filtr,17
dewy,94
mask,243
contour,58
real,138
skii,9
bank,29
purifying,40
firming,68
vital,50
ink,13
respectissime,6
wow,35
cotton,85
renew,27
laneige,78
fit,54
confort,8
re,232
texturizing,6
out,594
sleepair,8
perfectly,71
activating,9
lava,19
regenerating,18
eau,64
calendula,34
herbal,50
extract,261
15,280
lauder,60
makeup,460
earth,23
stalk,3
r,159
minimum,17
drop,54
130,23
r,159
n,67
a,839
bronzer,44
jart,76
ex,23
super,251
idole,26
tint,74
cp,3
r,159
serum,300
infused,106
peeling,33
paper,28
bija,14
roche,74
idealist,5
corrective,18
retinol,64
invisimatte,8
teint,27
xl,8
hydro,46
plumping,35
micro,70
clarifying,35
multi,120
action,70
lotion,133
calming,67
lancome,56
universal,39
clearing,30
bomb,33
black,174
fenty,95
full,322
supreme,23
freestyle,13
genoptics,11
lifting,55
cicapair,30
warmth,10
advanced,84
serozin,0
salve,22
instant,115
micellar,28
radical,29
moisturizer,296
care,345
gel,244
posay,70
luminizer,24
lemon,21
shower,55
uv,61
redermic,7
youth,51
eye,309
skin,755
soothing,164
glossier,75
monsieur,16
cover,76
styler,4
hydro,46
liquid,147
deep,178
clean,235
line,211
reducing,63
hand,151
mascara,144
and,831
hydra,46
la,124
glo,3
rare,22
perfectionist,3
new,492
bath,42
waterproof,57
seed,148
jelly,66
brush,124
soft,317
daily,251
kiehls,99
gloss,91
remover,77
hydrationist,5
perfect,293
milk,50
refiner,19
innisfree,62
anti,249
aging,241
vivid,7
cleanser,237
age,130
oil,413
cica,25
multi,120
water,385
bi,16
facil,10
velvet,20
foundation,192
belle,28
ampoule,28
in,793
release,43
blemish,56
sleeping,80
avocado,53
mist,49
tea,115
stix,20
flyliner,6
fresh,217
eyeliner,73
est,23
gnifique,23
ceramidin,33
lidstar,5
hyaluronic,178
with,795
parfum,62
volumizing,29
creamy,135
gentle,192
global,48
anti,249
wrinkle,62
deep,178
l,158
absolu,14
essence,124
wash,200
cleansing,215
for,810
effaclar,25
time,456
rubber,23
face,585
brightening,117
product,670
frontal,9
facial,272
sugar,50
preserve,17
hero,37
shake,34
absolue,16
portable,19
concentrate,61
men,96
toning,39
clay,53
booster,37
age,130
delay,22
light,274
matte,134
defense,16
green,140
soy,40
essential,124
spot,117
longwear,36
fuel,12
minimizing,17
balancing,53
50,212
baume,8
hyalu,9
beauty,549
big,154
fine,289
pencil,30
r,159
overnight,99
strength,37
dr,137
highlighter,79
rose,186
ultimate,108
power,161
foaming,67
rich,179
brow,75
palette,48
dream,42
cheeks,96
touchup,3
primer,101
dermaclear,16
sheet,73
clearly,37
vie,23
powerful,95
strength,37
recovery,48
daywear,11
ultra,189
poreless,10
emulsion,44
duo,54
mousse,12
serum,300
blotting,20
putty,11
lift,80
treatment,221
eyeshadow,76
lip,214
estee,44
balm,144
cils,14
refinisher,3
hydration,281
multi,120
corrective,18
30,228
skin,755
strengthening,36
dr,137
reviews,472
worth,192
love,434
good,424
hate,45
bad,115
great,347
brand,291
buy,301
